,text,hour,date,minute,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_pos,sentiment_type
17,Congress ruled 60yrs &amp; inculcated corruption in every walk of life. Hope they remain out of power for next 60yrs &amp; #IndiaDefeatsBlackMoney,22,12/8/2016,43,0.4404,0.879,0,0.121,POSITIVE
18,Donald Trump a real #DoGooder puts money were his mouth is not like fake celebs with equally fake concerns https://t.co/b44qnksMVp,22,12/8/2016,43,0.4585,0.689,0.091,0.22,POSITIVE
19,"RT @RoflGandhi_: Autowala to me: Modi Sarkar ne kamaal kar diya, pahle mere bachhe jeb se paise chura lete the, ab khud apna gullak mere se…",22,12/8/2016,43,0,1,0,0,NEUTRAL
20,RT @HKupdate: Mangalam daily reports crores worth black money of LDF Ministers in Kerala Co op Banks caught in IT raid https://t.co/lYauri2…,22,12/8/2016,43,0.2263,0.917,0,0.083,POSITIVE
21,RT @CarDroidusMax: This is a whole new level of bhaktwankery even for modibhakts https://t.co/S8xB1VtMPv,22,12/8/2016,43,0,1,0,0,NEUTRAL
22,"RT @ArvindKejriwal: Modi Govt works overtime to persecute Indira Jaising who took up cases against Amit Shah, issuing orders on Sunday!
htt…",22,12/8/2016,43,-0.5255,0.861,0.139,0,NEGATIVE
23,"Late. Jayalalitha died....shown on Tv and social media for like 3_4 days, modi took action on demonetisation &amp;... https://t.co/8ZeN2ClaAp",22,12/8/2016,43,0.3612,0.878,0,0.122,POSITIVE
24,"RT @sonika1990: RT AAPnadimramali: Demonetisation has ""failed"" to unearth a single penny of black money in the last one month- Arv… https:/…",22,12/8/2016,43,0,1,0,0,NEUTRAL
25,RT @AskAnshul: Gandhi intended to dissolve Congress after Independence. Modi has almost fulfilled his last wish.#अगर_कांग्रेस_ना_होती toh P…,22,12/8/2016,43,0.3626,0.871,0,0.129,POSITIVE
26,"RT @MinhazMerchant: Why, contrary to dire predictions, #DeMonetisation is likely to be a ""huge success"", writes @surjitbhalla. Must read ht…",22,12/8/2016,43,-0.1779,0.762,0.135,0.103,NEGATIVE
27,I might have to bite the bullet for that black XL https://t.co/sxIGE3bmA5,22,12/8/2016,43,0,1,0,0,NEUTRAL
28,@tanvirsadiq @rishibagree You are absolutely right..they are RSS people sent by Modi ...Dumbass,22,12/8/2016,43,0,1,0,0,NEUTRAL
29,RT @DrKumarVishwas: जड़ चेतन हो रिया है भिया 😳 https://t.co/DhYTslT9B3,22,12/8/2016,44,0,1,0,0,NEUTRAL
30,RT @gandiv: @ndtv @RBI @meerasanyal @LRC_NDTV  Black money is again being regenerated by black marketeers. Crooks are everywhere.,22,12/8/2016,44,0,1,0,0,NEUTRAL
31,Demonetisation 30 days: A timeline of PM Narendra Modi's grand Indian currency show - Firstpost https://t.co/25a1MvhGld,22,12/8/2016,44,0.4588,0.813,0,0.188,POSITIVE
32,"RT @navinkhaitan: For Modi, Selling the idea of Cashless Economy wont be that easy as Blackmoney &amp;Corruption free India. Coz people r comfo…",22,12/8/2016,44,0.2249,0.778,0.094,0.128,POSITIVE
33,"RT @SirJadeja: Dear Rahul Gandhi,

""Pay To Modi"" Is Better Than ""Pay To Mummy"" Who Used To Deposit The Hard Earned Money Of Poor I… ",22,12/8/2016,44,0.0516,0.597,0.23,0.173,POSITIVE
34,RT @PiyushGoyal: People of India are praising the demonetisation decision; their support has made the scheme successful.…,22,12/8/2016,44,0.7351,0.708,0,0.292,POSITIVE
35,RT @MumCongress: The decision of Demonetisation proves Modi as a hopeless administrator and an undemocratic leader. https://t.co/mFsTAp0w4O,22,12/8/2016,44,-0.4588,0.833,0.167,0,NEGATIVE
36,"RT @OfficeOfRG: PM is running from one thing to another:black money to counterfeit to cashless.We won't let him run inside the House
https:…",22,12/8/2016,44,0,1,0,0,NEUTRAL
37,"RT @sunnywilson93: @swagata_y that's little degree of inconvenience in fight against black money - modi 
#IndiaDefeatsBlackMoney #demonitis…",22,12/8/2016,44,-0.5908,0.743,0.257,0,NEGATIVE
38,RT @GaziKodzo: Young Thug has literally only had money for like 4 years! He is already going around calling Working Class black people ants…,22,12/8/2016,44,0.4199,0.887,0,0.113,POSITIVE
39,Waiting for  #IndiaDefeatsBlackMoney,22,12/8/2016,45,0,1,0,0,NEUTRAL
40,RT @free_thinker: Modi Sarkar..Murdabad..slogans. Watch how there are no political flags. The 'aam janta' is expressing their anger w…,22,12/8/2016,45,-0.7096,0.742,0.258,0,NEGATIVE
41,Modi awaits you to come and then will discuss with Opp. MPs. - https://t.co/l8E0EecdXr,22,12/8/2016,45,0.0772,0.902,0,0.098,POSITIVE
42,"RT @iammamta29: Modi Ji ne kaha tha sabhi k Bank account mei 15 Lakh Ayenge..
Kisne socha tha log khud hi jama kraenge...😁",22,12/8/2016,45,0,1,0,0,NEUTRAL
43,#IndiaDefeatsBlackMoney but yet Sonia Gandhi is running free,22,12/8/2016,45,0.6652,0.611,0,0.389,POSITIVE
44,"RT @AashishKhetan: If true, then it shows that the decision was not a top secret. Info was selectively leaked to the cronies of Modi. https…",22,12/8/2016,45,-0.0237,0.758,0.141,0.101,NEGATIVE
45,RT @elitelife_kd: Still trying to figure out how black youngsta has all this unlimited money 😂😂😂,22,12/8/2016,45,0,1,0,0,NEUTRAL
46,"RT @Myth_Busterz: U may mock, troll, ridicule, jibe &amp; taunt SARDAR but this FAKEER CHAIWALA had ruined &amp; crashed INDIA in just 2½ yrs…",22,12/8/2016,45,-0.7935,0.713,0.287,0,NEGATIVE
47,When @VictoriasSecret doesn't carry XL SPORTS BRA in their stores and ur forced to exchange your black Friday purchase back for money. 😠,22,12/8/2016,45,-0.4588,0.88,0.12,0,NEGATIVE
48,#IndiaDefeatsBlackMoney yet kejru is CM of delhi,22,12/8/2016,45,0,1,0,0,NEUTRAL
49,"RT @TOIIndiaNews: Note ban a 'foolish decision, not bold', Paytm means 'Pay to Modi', says Rahul Gandhi at demonetisation protest https://t…",22,12/8/2016,45,-0.7964,0.637,0.363,0,NEGATIVE
50,"RT @carrolltrust: Top Story Lord Guy Black of #Brentwood + David Cameron Money Laundering Exposé https://t.co/ewy4fxRTVV  , see more https:…",22,12/8/2016,46,0.2023,0.904,0,0.096,POSITIVE
51,"RT @AskSanwar: Modi Ji
""your Operation was Successful But Patient has Died""

All Looters Manage To Escape and Poor Folks Lost ever… ",22,12/8/2016,46,-0.5423,0.54,0.286,0.175,NEGATIVE
52,"RT @DMaika11: ""Black Knights?""
""Can't do that.""
""Golden Knights.""
""Maybe sumbit a trademark application before we spend money on… ",22,12/8/2016,46,0,1,0,0,NEUTRAL
53,"RT @scotchism: One month ago, on this day, at around 8pm, Modi destroyed India's economy. 
#NeverForget",22,12/8/2016,46,-0.4939,0.824,0.176,0,NEGATIVE
54,"RT @SweatyKeef: ""Black people waste money on Gucci belts. You don't see white people wasting their money like that"" - Y'all https://t.co/p8…",22,12/8/2016,46,-0.4588,0.692,0.212,0.096,NEGATIVE
55,Do you want Modi to waste his time discussing with street urchins? - https://t.co/l8E0EecdXr,22,12/8/2016,46,-0.3612,0.728,0.185,0.086,NEGATIVE
56,"RT @SanjayAzadSln: Trump is TIME’s Person of the Year, while Indians take solace in Modi winning the popular vote – The Indian Express http…",22,12/8/2016,46,0.7351,0.78,0,0.22,POSITIVE
57,"RT @pbhushan1: As NGOs opposed to govt's policies are victimised&amp;their funds choked, pseudo science promoting organisations affili…",22,12/8/2016,46,-0.1531,0.728,0.15,0.121,NEGATIVE
58,RT @narendramodi: No longer will the progress &amp; prosperity of rural India be curtailed by corruption &amp; black money. Our villages must get t…,22,12/8/2016,46,0.1531,0.815,0.081,0.104,POSITIVE
59,RT @arunmsk: Every Digital transaction is charged 4% extra  Goes directly yo #PayToModi  Jaitley giving discount of 0.75%  Net a…,22,12/8/2016,46,0.1531,0.811,0.081,0.108,POSITIVE
60,RT @timesofindia: ‘Bhakt’ guard relays ‘Jai Modi!’ greeting on Churchgate fast https://t.co/Z8pQ0g6Pnu via @TOIMumbai https://t.co/gtrd7ZjL…,22,12/8/2016,46,0.4389,0.829,0,0.171,POSITIVE
61,RT @dhaval241086: Dear @bhupendrachaube kuch yaad aaya??? https://t.co/AIfEE1h1hZ,22,12/8/2016,46,0.4836,0.69,0,0.31,POSITIVE
62,RT @INCIndia: PM is changing his narrative on Demonetisation. He jumped from black money to terrorism to counterfeit currency &amp; n…,22,12/8/2016,47,-0.6808,0.813,0.187,0,NEGATIVE
63,RT @mediacrooks: No cheating... Modi was a popular vote.. Trump was picked by pigs who actually hate him. @saur008 @BreakingNews @TIME @ira…,22,12/8/2016,47,-0.4767,0.674,0.221,0.105,NEGATIVE
64,@paytm करता अच्छेदिन #IndiaDefeatsBlackMoney मराठी ट्विट्स करता फोलो करा https://t.co/YHLNvfNe7u,22,12/8/2016,47,0,1,0,0,NEUTRAL
65,RT @LokpalJi: मुझे राहुल जी पे पूरा विश्वास है। लेकिन कांग्रेस वाले हंगामा करके उनको बोलने ही नहीं दे रहे। बोलने दिया जाना चाहिए। https://t…,22,12/8/2016,47,0,1,0,0,NEUTRAL
66,RT @KanchanGupta: @bhupendrachaube India will embrace Mr Modi as PM. I shall remind you of this tweet the day NaMo takes oath as PM. Promis…,22,12/8/2016,47,0.3182,0.909,0,0.091,POSITIVE
67,@timgeith black Beatles they confiscate the money,22,12/8/2016,47,0,1,0,0,NEUTRAL
68,"RT @AskAnshul: When Modi launched scheme to help farmers insure crops against calamities. Cong said Jumla. Well, 26.5% farmers sought cover…",22,12/8/2016,47,0.6486,0.741,0,0.259,POSITIVE
69,"RT @ScrewedbyState: Supreme irony is economy was thought to be Modi's very strong point. Saviour has turned destroyer out of greed. 
https:…",22,12/8/2016,47,0.3167,0.547,0.222,0.231,POSITIVE
70,"Kab PAKISTANIO ko PAKISTANI Prime minister naseeb hoga, Panama Sharif tou Modi kay ishq mey Pagal hogaya hey. @pmln_org @MaryamNSharif @AQpk",22,12/8/2016,47,0,1,0,0,NEUTRAL
71,RT @priyankac19: Cc: @vivekagnihotri maybe you should 1st comment on intellectual bankruptcy&amp;visionlessness of Modi. Why does he hat…,22,12/8/2016,47,0.5106,0.837,0,0.163,POSITIVE
72,"RT @SitaramYechury: Rich have become richer under the Modi govt. As far as #Demonetisation is concerned, the govt is surely into day-dr…",22,12/8/2016,47,0.872,0.657,0,0.343,POSITIVE
73,#RIPAmma  #Jayalalithaa RT @siddha9: RT NewsLooseFlash: जब नरेंद्र मोदी की सूझबूझ से बची जयललिता की जान! https://t.co/ONIxkv9vL6 #RajajiHall,22,12/8/2016,47,0,1,0,0,NEUTRAL
74,"RT @DebashishHiTs: I-T raids on jewelers in Chennai seizes Rs 90 crore #BlackMoney in Gold &amp; Cash #IndiaDefeatsBlackMoney @HinduRajyam 
htt…",22,12/8/2016,48,0,1,0,0,NEUTRAL
75,In quali modi? — In quelli che farò a te se non te levi https://t.co/SePslY89EM https://t.co/J6SPP0Rn9c,22,12/8/2016,48,0,1,0,0,NEUTRAL
76,"RT @KanchanGupta: On Day 1 PM @narendramodi said #DeMonetisation against black money, terror financing, counterfeit notes.…",22,12/8/2016,48,-0.5267,0.805,0.195,0,NEGATIVE
77,Asking Indians to go cashless by forcing tech on them is dangerous. India's rank is 120/139 in use of IT. https://t.co/SrU5IFz7Y0,22,12/8/2016,48,-0.4767,0.866,0.134,0,NEGATIVE
78,"RT @SteveNews1: Actress Gautami writes letter to PM Modi over #jayalalithaa's demise 

https://t.co/BLNzq4Jeh9 @khushsundar @vasudha_ET",22,12/8/2016,48,0,1,0,0,NEUTRAL
79,Music Millennium - Mo Money Mo Problems https://t.co/dtA3Vr3Gqt,22,12/8/2016,48,-0.4019,0.69,0.31,0,NEGATIVE
80,RT @MisaBharti: Asking Indians to go cashless by forcing tech on them is dangerous. India's rank is 120/139 in use of IT. https://t.co/SrU5…,22,12/8/2016,48,-0.4767,0.876,0.124,0,NEGATIVE
81,RT @NrdLovnNetta: @djolder I teach underprivileged Black girls to dance.  I raise money to purchase their dance supplies…,22,12/8/2016,49,0,1,0,0,NEUTRAL
82,"RT @RoflGandhi_: Fuckeer ji, 100 se jyada aahuti le chuke ho iss yajan me. Bas karo. https://t.co/jbMtFu7PVD",22,12/8/2016,49,0,1,0,0,NEUTRAL
83,RT @BlackMoses2015: do you know how much money black churches turn in per year &amp; look at the conditions of the black communities that s…,22,12/8/2016,49,0,1,0,0,NEUTRAL
84,@RawStory damn burn your house down put your family in danger blame black lives matter collect insurance money ain't that the white way,22,12/8/2016,49,-0.8126,0.664,0.297,0.038,NEGATIVE
85,RT @JPNadda: I salute all the citizens for their firm and continuous support in this nation building exercise.…,22,12/8/2016,49,0.4019,0.856,0,0.144,POSITIVE
86,RT @mygovindia: India swiftly moving towards building a LessCash Economy. #IndiaDefeatsBlackMoney https://t.co/H8R4MNdisd,22,12/8/2016,49,0.296,0.82,0,0.18,POSITIVE
87,"RT @smritiirani: Armed with swipe machine &amp; e-wallet, tea vendor supports PM Modi’s cashless push
 https://t.co/66IfLhE9mi

via NMApp https…",22,12/8/2016,49,0.3612,0.878,0,0.122,POSITIVE
88,RT @NMenonRao: I do wish @TheEconomist would stop lecturing India. We are not the poor and huddled masses waiting for a  good shep…,22,12/8/2016,49,0.7144,0.621,0.08,0.298,POSITIVE
89,RT @sureshpprabhu: Special incentives to encourage Digital Payments #TransformingIndia #IndiaDefeatsBlackMoney https://t.co/LWBQwzLYev,22,12/8/2016,49,0.8074,0.491,0,0.509,POSITIVE
90,"@TOIIndiaNews @timesofindia if #paytm is 'Pay to Modi', what about #agustawestland ????",22,12/8/2016,49,-0.3313,0.823,0.177,0,NEGATIVE
91,@ItalyHarris complimenti per l'educazione ed i modi. A quanto pare anche l'educazione. I tuoi a sberle dovevano prenderti.,22,12/8/2016,49,0,1,0,0,NEUTRAL
92,RT @CGdrawing: Anju Modi’s Bajirao Mastani Collection https://t.co/qIPkobL3Fo,22,12/8/2016,49,0,1,0,0,NEUTRAL
93,Propriety modification of PVC - https://t.co/PHB96jbSeA https://t.co/pzf5g43Rq2,22,12/8/2016,49,0,1,0,0,NEUTRAL
94,RT @khanknee: Hey guys! I'm raising money for my new Black History Comic Book Series. Click to Donate (Please and Thank You!):  https://t.c…,22,12/8/2016,49,0.4738,0.877,0,0.123,POSITIVE
95,"RT @malviyamit: If you buy new insurance policy online from state insurers, GIC will give a 10% and LIC will give a 8% discount! #IndiaDefe…",22,12/8/2016,49,0,1,0,0,NEUTRAL
96,"RT @AamAadmiParty: .@dilipkpandey  - 
#ModisClaimsExposed
Biggest currency printing order of Independent India has been given by Modi Govt…",22,12/8/2016,49,0,1,0,0,NEUTRAL
97,RT @malviyamit: Petrol and diesel to be cheaper by 0.75% if paid through digital means. #IndiaDefeatsBlackMoney,22,12/8/2016,49,0,1,0,0,NEUTRAL
98,"RT @kvjadeja1994: Villages go cashless; Akodara, Gujarat adopts the cashless route #IndiaDefeatsBlackMoney",22,12/8/2016,49,0.1779,0.866,0,0.134,POSITIVE
99,"non stanno più tentando in tutti i modi di nascondere se stessi a causa della videocamera, si sono aperti a noi",22,12/8/2016,49,0,1,0,0,NEUTRAL
100,"RT @KiranKS: Yearly revenue receipt (est) by Indian govt = Rs. 11,41,000 cr.
Amount deposited in Indian banks since… ",22,12/8/2016,50,0,1,0,0,NEUTRAL
101,"Panama Sharif kahi Modi aur iski maa ko Azad Kashmir Gift Na kardeh.Is pagal ka koi barosa nahi,35puncture ki bato mey aa kay @MaryamNSharif",22,12/8/2016,50,0.4404,0.888,0,0.112,POSITIVE
102,"RT @surjitbhalla: Critics of demonetization blissfully unaware-Even if all Rs. 15.4 lakh crores are returned, tax revenues will jump; https…",22,12/8/2016,50,-0.296,0.896,0.104,0,NEGATIVE
103,RT @Vidyut: Corruption has already changed. Bribes and black money are small guys. Biggest corruption is all white. Massive dea…,22,12/8/2016,50,0,1,0,0,NEUTRAL
104,"RT @thekiranbedi: Colour of democracy too will change. Here is a piece by @DrSYQuraishi 
The colour of polls https://t.co/R6YKzVqDZR via @I…",22,12/8/2016,50,0,1,0,0,NEUTRAL
105,"RT @TheAngryLord: Looks Like Azam Khan Ji Was Too Tired, So He Sent His Buffaloes To ATM 😉

#IndiaDefeatsBlackMoney https://t.co/sN3kqcbfqy",22,12/8/2016,50,-0.1027,0.769,0.124,0.107,NEGATIVE
106,"RT @YearOfRat: Modi ji lied. He said the money funding terror sympathizers will stop after demonetization, yahan toh roz kitaaben…",22,12/8/2016,50,-0.802,0.675,0.325,0,NEGATIVE
107,@rupakmishra10 muche modi GI pe visvas h ki vo bhut acha cham kar rhe  h or bjp ki sarkar me hi up ka vukas shambhuv h jay modi,22,12/8/2016,50,0,1,0,0,NEUTRAL
108,"RT @ashu3page: Has Arvind Kejriwal launched a pan India strike against BJP and PM Modi ? Do watch how he replied to me. 
https://t.co/JzfWY…",22,12/8/2016,50,0,0.87,0.065,0.065,NEUTRAL
109,RT @ExSecular: tweeting Modi-ambani stories in the middle of the night .. shows madam Sunita is not taking good care of you https://t.co/b6…,22,12/8/2016,50,-0.6167,0.807,0.193,0,NEGATIVE
110,RT @malviyamit: Mamata Banerjee is protesting against demonetisation but her state has moved on with PM Modi..…,22,12/8/2016,50,-0.2263,0.894,0.106,0,NEGATIVE
111,RT @RadhamohanBJP: Villages going Cashless. #IndiaDefeatsBlackMoney https://t.co/n3qorf9PEQ,22,12/8/2016,50,0,1,0,0,NEUTRAL
112,"RT @mgrg7: There is no country which is #Cashless.
I have traveled widely in #Europe #America #Asia #Africa. Everywhere you ha… ",22,12/8/2016,50,-0.296,0.896,0.104,0,NEGATIVE
113,RT @mygovindia: Transaction without cash is possible-USSD. #IndiaDefeatsBlackMoney https://t.co/uTp0QDbnoO,22,12/8/2016,50,0,1,0,0,NEUTRAL
114,"RT @jspandey_: #IndiaDefeatsBlackMoney every day ""goal post shifting"" by opposition for disrupting parliament.
#ArnabGoswami bad t… ",22,12/8/2016,50,-0.5423,0.811,0.189,0,NEGATIVE
115,RT @NitinKapoor2020: .@samirsaran Sonia Gandhi's Congress in India called Modi Hitler..while its Sonia whose father was Nazi…,22,12/8/2016,50,0,1,0,0,NEUTRAL
116,@sidin @ABelWINS MODI/MOTI RESTAURANT JOKE IS FINE WE WILL GET 20RS BACK ON A MINIMUM OF BILL OF RS 1980?? HA HA,22,12/8/2016,50,0.902,0.584,0,0.416,POSITIVE
117,That is shocking Ma'am. Such vandals must be immediately arrested. Or Modi must resign ! https://t.co/kDNwlv0QIa,22,12/8/2016,50,-0.8172,0.586,0.414,0,NEGATIVE
118,"RT @kfreed2: .@ShaunKing Dear idiot, your Libertarian cohort, Greenwald: https://t.co/W7wJiN8eZp &gt; https://t.co/qx8GaJfpTw @CloudContact @A…",22,12/8/2016,50,0.0516,0.585,0.176,0.239,POSITIVE
119,RT @Chellaney: Ban cash transactions in main areas where black money is spent—from hotels and airlines to all forms of luxury shopping. Lea…,22,12/8/2016,50,-0.5574,0.859,0.141,0,NEGATIVE
120,"#IndiaDefeatsBlackMoney - https://t.co/WOuuUmXRZh Must ensure #IndiaDefeatsBlackMoney, short-term pain will pave way for long-term gains: PM",22,12/8/2016,51,0.1779,0.57,0.171,0.259,POSITIVE
121,RT @calmgalin: Who defines patriotism ? what is patriotism? If praising all idiotic decision by Modi is patriotism thn am not a patriot  @m…,22,12/8/2016,51,-0.1179,0.728,0.144,0.127,NEGATIVE
122,"RT @arroworks: @ArvindKejriwal Sir , shocking bol dalo , yeh bhi #DeMonetisation ka effect hai , Modi must resign .
https://t.co/4wej3RrQdW",22,12/8/2016,51,-0.6249,0.746,0.254,0,NEGATIVE
123,"RT @calmgalin: Modi's survey reminds me of employee satisfaction survey HR conduct - only options- highly satisfied, somewhat satisfied,  l…",22,12/8/2016,51,0.8437,0.638,0,0.362,POSITIVE
124,"RT @amarakhbaranth1: LoL..Rahul Gandhi hit big time with ""Pay to Modi"" 😂🤓 

he sent bhakths back to independence,waapas aa jao Modi ki p… ",22,12/8/2016,51,-0.1027,0.94,0.06,0,NEGATIVE
125,@pmln_org @ISPR_Official @AsimBajwaISPR @CMShehbaz @siasatpk @Shahidmasooddr @HassanNisar @AsadKharal @Fereeha… https://t.co/KuhUbQ66Pv,22,12/8/2016,51,0,1,0,0,NEUTRAL
126,"@Havergoe @MinsterTX @op_shield IdZ is a money black hole, thank god they're going for scalable technologies and upgrades",22,12/8/2016,51,0.5574,0.765,0,0.235,POSITIVE
127,This is some straight BS right here. This seriously needs to go viral @VictoriasSecret https://t.co/G2BiiWlI43,22,12/8/2016,51,0.0516,0.783,0.102,0.114,POSITIVE
128,RT @me_sourish: The picture itself gives better idea what will happen if big corrupt fish dont surrender there black with in 50days…,22,12/8/2016,51,0.4404,0.879,0,0.121,POSITIVE
129,"RT @AAPExpress: Breaking :

Biggest currency printing order of Independent India has been given by Modi Govt to a blacklisted Compa… ",22,12/8/2016,51,0,1,0,0,NEUTRAL
130,"RT @Troll_Kudi: Indians have gradually accepted that when Modi says
 'Mitron...'  

he actually means 'Chutiyon...'

😂😂😂",22,12/8/2016,51,0.2732,0.877,0,0.123,POSITIVE
131,"RT @jumpouttheboat: Oh, so that's how it works? Must mean @Victoriasecrets refuses all Black money, too. This is BS. 😠 https://t.co/rlqasKO…",22,12/8/2016,51,0,1,0,0,NEUTRAL
132,"RT @DorianaDori: Anche in questa fase, battutine, sarcasmo, zero autocritica, e frecciate a chi ha osato usare i suoi stessi modi. Buona no…",22,12/8/2016,51,0.34,0.888,0,0.112,POSITIVE
133,RT @kianarenai: @VictoriasSecret failure to address this situation speaks volumes. Black people quit putting your money into racist compani…,22,12/8/2016,51,-0.8074,0.7,0.3,0,NEGATIVE
134,RT @MoFaye_: I'm on the phone with the IRS bro. We are gonna find out soon. https://t.co/TKMZ19RmOu,22,12/8/2016,52,0,1,0,0,NEUTRAL
135,#Upfronts2016 #himalchal Womens Bible site:Should #Indian #Muslims Vote for Scary BJP/Modi https://t.co/AIPHeAg6kE https://t.co/86JGVeLuwv,22,12/8/2016,52,-0.4939,0.789,0.211,0,NEGATIVE
136,"RT @NeetuGarg6: Demonetisation Has An Unexpected Benefit, It Has Stopped Illegal Animal Parts Trade, Claims Activist!…",22,12/8/2016,52,-0.4199,0.597,0.266,0.138,NEGATIVE
137,"PM Narendra Modi defends note ban, promises long-term gains - Economic Times https://t.co/Yu4LVSq3eU",22,12/8/2016,52,0.1027,0.511,0.205,0.284,POSITIVE
138,RT @TajinderBagga: Incidents of stone-pelting have reportedly reduced drastically in the Valley ever since demonetisation announcement. #In…,22,12/8/2016,52,0,1,0,0,NEUTRAL
139,"#IndiaDefeatsBlackMoney - https://t.co/b9yMaey5nR Must ensure #IndiaDefeatsBlackMoney, short-term pain will pave way for long-term gain",22,12/8/2016,52,0.4019,0.518,0.171,0.311,POSITIVE
140,RT @nanditathhakur: All universities in Gujarat told to go for Cashless transactions from 1st December #IndiaDefeatsBlackMoney https://t.co…,22,12/8/2016,52,0,1,0,0,NEUTRAL
141,Oh is this why @ArvindKejriwal is opposing #DeMonetisation because he didn't get chance or time to convert Ford &amp; w… https://t.co/Op1d7RxQbh,22,12/8/2016,52,-0.1877,0.92,0.08,0,NEGATIVE
142,RT @PiyushGoyal: Demonetisation puts an end to fake currency circulation. #IndiaDefeatsBlackMoney https://t.co/UKjGOA2JAT,22,12/8/2016,52,-0.4767,0.78,0.22,0,NEGATIVE
143,RT @kiranshaw: PM Modi Ropes In Tech Tycoon Nandan Nilekani To Help With Cash Clean Up - the best person to steer us into E-cash https://t.…,22,12/8/2016,52,0.8625,0.696,0,0.304,POSITIVE
144,There were news in media coming that multiple crores of new currency getting caught daily ?objective achieved?  #IndiaDefeatsBlackMoney,22,12/8/2016,52,0,1,0,0,NEUTRAL
145,RT @lindafirst22: Ci sono tanti modi per uccidere. Il peggiore è mentire.,22,12/8/2016,52,0,1,0,0,NEUTRAL
146,RT @mygovindia: Demonetisation eliminates Fake currency! #IndiaDefeatsBlackMoney https://t.co/2C98NyuV78,22,12/8/2016,52,-0.5255,0.674,0.326,0,NEGATIVE
147,RT @malviyamit: Demonetisation brings drugs-related cases to a standstill as cases down to 200 in November from over 700 in October. #India…,22,12/8/2016,52,0,1,0,0,NEUTRAL
148,RT @mygovindia: Villages adopting the cashless culture. #IndiaDefeatsBlackMoney https://t.co/Z3q2qBvRlC,22,12/8/2016,52,0,1,0,0,NEUTRAL
149,"#IndiaDefeatsBlackMoney - https://t.co/i23ib18Xe7 Must ensure #IndiaDefeatsBlackMoney, short-term pain will pave way for long-term gains: PM",22,12/8/2016,52,0.1779,0.57,0.171,0.259,POSITIVE
